t,o,h,l,c,v,oi,series,data_source
2024-05-29 09:24:00,49304.2,49337.15,49285.5,49320.15,28455.0,1413960.0,II,
2024-05-29 09:27:00,49329.15,49332.05,49230.0,49241.35,46890.0,1424610.0,II,
2024-05-29 09:30:00,49251.85,49282.4,49225.0,49273.8,40785.0,1434570.0,II,
2024-05-29 09:33:00,49273.7,49320.65,49270.0,49295.8,25800.0,1449825.0,II,
2024-05-29 09:36:00,49297.15,49311.0,49246.0,49251.5,17940.0,1463415.0,II,
2024-05-29 09:39:00,49246.0,49264.75,49220.0,49225.0,23595.0,1473840.0,II,
2024-05-29 09:42:00,49225.0,49258.75,49225.0,49231.8,12330.0,1478670.0,II,
2024-05-29 09:45:00,49225.0,49245.0,49200.0,49204.8,22035.0,1485840.0,II,
2024-05-29 09:48:00,49206.4,49210.5,49183.0,49191.0,24495.0,1503825.0,II,
2024-05-29 09:51:00,49191.0,49209.3,49170.0,49171.2,21030.0,1513755.0,II,
2024-05-29 09:54:00,49174.8,49218.35,49169.0,49200.0,20535.0,1522890.0,II,
2024-05-29 09:57:00,49200.0,49229.8,49196.05,49229.8,15315.0,1534995.0,II,
2024-05-29 10:00:00,49234.7,49234.7,49191.85,49195.1,16680.0,1546065.0,II,
2024-05-29 10:03:00,49196.45,49204.95,49110.05,49120.0,36615.0,1555200.0,II,
2024-05-29 10:06:00,49119.95,49119.95,49075.5,49104.8,32220.0,1570170.0,II,
2024-05-29 10:09:00,49100.1,49121.8,49097.55,49116.0,24450.0,1579995.0,II,
2024-05-29 10:12:00,49116.1,49116.1,49078.95,49089.8,13125.0,1589085.0,II,
2024-05-29 10:15:00,49089.8,49104.1,49055.55,49080.15,22710.0,1595670.0,II,
2024-05-29 10:18:00,49089.85,49093.65,49045.25,49068.0,21960.0,1603395.0,II,
2024-05-29 10:21:00,49070.55,49070.55,49030.25,49030.55,17895.0,1612140.0,II,
2024-05-29 10:24:00,49030.25,49052.1,49007.5,49042.75,20205.0,1619730.0,II,
2024-05-29 10:27:00,49041.75,49044.3,49015.0,49035.0,13980.0,1624260.0,II,
2024-05-29 10:30:00,49035.0,49062.0,49030.0,49034.15,18975.0,1628640.0,II,
2024-05-29 10:33:00,49034.15,49069.0,49005.0,49050.0,21285.0,1633275.0,II,
2024-05-29 10:36:00,49051.65,49078.4,49045.0,49078.4,12450.0,1638435.0,II,
2024-05-29 10:39:00,49078.4,49078.4,49043.95,49060.0,8700.0,1645245.0,II,
2024-05-29 10:42:00,49063.55,49100.2,49063.55,49080.1,23985.0,1653090.0,II,
2024-05-29 10:45:00,49087.45,49092.55,49070.0,49092.55,9285.0,1659885.0,II,
2024-05-29 10:48:00,49092.4,49097.6,49066.95,49066.95,36465.0,1669725.0,II,
2024-05-29 10:51:00,49066.95,49076.6,49052.0,49060.0,26385.0,1684695.0,II,
2024-05-29 10:54:00,49060.0,49080.0,49054.6,49080.0,11385.0,1691340.0,II,
2024-05-29 10:57:00,49080.0,49081.95,49040.55,49058.1,5970.0,1689930.0,II,
